Temperature,Rainfall,Humidity,Soil_Moisture,Wind_Speed,Drought_Severity
31.8,136.0,77.8,37.1,12.1,No Drought
41.7,123.7,27.0,38.2,10.1,No Drought
26.8,150.5,36.8,53.7,5.3,No Drought
35.4,31.7,29.9,75.2,15.8,No Drought
37.2,176.2,44.4,9.8,22.0,No Drought
26.8,174.4,51.5,66.9,24.2,No Drought
36.6,5.8,72.4,26.9,16.3,Moderate
29.4,165.2,65.6,38.3,15.3,No Drought
34.6,25.8,63.5,6.6,6.7,Severe
34.7,67.0,44.7,27.6,16.0,Mild
32.7,148.7,78.9,42.7,12.6,No Drought
23.8,32.2,53.0,9.2,17.1,Moderate
38.7,163.6,88.5,41.8,12.8,No Drought
28.4,166.4,64.4,74.5,9.8,No Drought
25.7,101.5,28.8,12.9,6.9,No Drought
22.8,1.3,67.3,62.3,11.3,No Drought
33.8,57.4,42.8,35.7,6.9,Mild
35.6,123.4,68.0,54.1,8.5,No Drought
22.3,196.2,24.9,24.5,24.7,No Drought
32.2,126.4,32.2,17.0,13.9,No Drought
26.5,52.0,79.9,17.0,15.6,Moderate
34.9,126.8,35.9,10.3,22.5,No Drought
25.5,108.0,78.6,18.9,24.9,No Drought
35.8,156.0,39.5,54.8,16.7,No Drought
29.7,21.4,65.0,71.1,21.2,No Drought
40.7,152.2,68.6,66.1,11.5,No Drought
24.8,108.3,55.9,56.4,11.1,No Drought
28.8,192.6,41.4,13.3,13.1,No Drought
24.3,68.4,34.9,26.7,18.5,Mild
40.5,126.5,22.3,28.2,18.6,No Drought
39.5,186.4,41.3,23.7,11.3,No Drought
27.2,20.5,65.7,43.6,7.7,Mild
35.2,187.4,85.7,45.2,17.6,No Drought
38.3,137.6,81.0,31.8,7.6,No Drought
33.1,13.6,73.6,31.5,16.6,Mild
32.6,60.2,75.2,67.1,18.9,No Drought
26.8,141.6,66.5,64.2,19.0,No Drought
23.9,13.5,38.2,28.1,20.1,Moderate
39.9,116.4,83.5,73.5,22.5,No Drought
40.0,69.2,67.0,76.5,15.0,No Drought
34.7,124.2,59.2,29.5,19.6,No Drought
28.8,9.1,27.8,31.6,17.4,Mild
29.0,174.3,51.3,42.9,8.7,No Drought
36.5,194.7,52.2,75.6,5.5,No Drought
39.9,193.8,80.5,70.7,10.7,No Drought
39.7,149.9,58.3,12.7,13.9,No Drought
37.6,26.0,46.6,34.5,17.3,Mild
34.8,151.7,88.4,46.5,22.0,No Drought
23.7,4.9,27.8,42.7,8.9,Mild
25.2,4.4,49.6,19.5,7.5,Severe
40.0,64.7,22.9,69.4,24.3,No Drought
34.1,97.7,71.8,55.8,7.2,No Drought
22.2,154.1,84.3,67.8,14.6,No Drought
24.0,136.7,39.6,69.4,16.7,No Drought
35.3,89.2,80.1,61.1,15.8,No Drought
22.1,54.7,40.5,37.9,6.7,Mild
25.2,199.4,83.8,50.8,6.1,No Drought
33.0,85.2,72.8,17.0,7.1,Mild
35.8,90.3,76.3,55.5,16.7,No Drought
35.0,32.7,21.3,18.4,15.9,Moderate
26.5,159.0,87.4,57.0,9.7,No Drought
36.2,138.7,70.9,22.2,17.8,No Drought
26.7,44.2,41.3,13.8,21.4,Moderate
28.5,16.5,78.1,17.4,5.8,Severe
36.9,136.1,39.7,5.1,15.0,No Drought
35.0,130.9,81.1,58.9,18.8,No Drought
39.0,54.7,27.9,59.9,10.0,No Drought
35.2,190.2,69.3,43.6,11.2,No Drought
33.4,30.2,57.8,17.1,17.3,Moderate
23.9,86.5,26.8,11.3,23.0,Mild
29.4,188.7,36.9,6.4,21.2,No Drought
27.3,83.9,20.9,17.4,16.7,Mild
26.9,127.7,52.8,71.8,19.6,No Drought
41.5,79.5,41.1,23.1,12.3,Mild
29.9,54.8,61.9,31.6,17.8,Mild
39.8,196.8,40.8,12.9,14.3,No Drought
34.6,81.9,41.0,21.7,8.8,Mild
37.9,178.8,72.0,43.9,19.0,No Drought
32.1,46.0,23.4,50.6,16.1,No Drought
33.5,42.6,83.2,23.4,12.2,Moderate
31.9,6.2,79.7,9.3,23.2,Severe
25.9,130.3,66.7,34.3,5.4,No Drought
36.4,73.7,61.5,22.6,11.3,Mild
27.6,172.9,82.5,21.5,6.1,No Drought
22.5,94.6,33.0,77.0,20.3,No Drought
34.9,193.6,25.5,51.2,19.0,No Drought
25.5,37.1,36.8,46.8,11.6,Mild
40.8,173.7,75.6,36.2,18.5,No Drought
41.1,155.3,22.4,37.2,12.9,No Drought
40.3,154.2,60.8,45.6,20.1,No Drought
29.4,169.0,89.7,57.2,14.1,No Drought
22.3,152.2,79.9,57.7,13.2,No Drought
40.6,125.2,56.5,17.9,23.7,No Drought
30.6,26.2,24.5,42.5,10.0,Mild
41.3,6.5,78.2,35.9,7.4,Mild
41.3,184.2,61.9,70.3,16.7,No Drought
39.1,123.3,28.0,52.4,24.4,No Drought
27.9,159.3,26.6,44.9,12.6,No Drought
29.7,96.3,83.7,13.7,6.2,Mild
39.0,23.5,66.8,50.4,11.8,No Drought
28.3,25.0,78.1,13.8,15.1,Severe
25.4,137.1,81.5,30.3,8.2,No Drought
33.1,86.1,60.0,15.7,18.2,Mild
40.7,40.1,56.2,56.9,25.0,No Drought
35.9,98.3,50.1,20.5,14.0,Mild
33.4,12.8,42.2,34.4,12.1,Mild
23.9,116.4,50.4,72.2,13.0,No Drought
34.3,53.8,74.2,20.3,7.3,Moderate
41.8,159.5,62.1,43.1,22.7,No Drought
24.8,62.1,82.5,36.4,13.3,Mild
32.4,91.0,51.0,6.4,12.7,Mild
39.5,2.3,62.5,64.5,18.2,No Drought
36.8,14.5,64.2,10.2,13.8,Severe
35.9,78.5,61.4,40.6,18.0,Mild
36.0,96.0,69.2,47.1,6.2,Mild
29.2,120.0,36.6,52.1,21.3,No Drought
27.9,58.3,55.9,56.6,23.8,No Drought
38.2,139.0,27.3,24.0,18.0,No Drought
38.2,172.0,46.9,5.7,24.1,No Drought
39.3,156.0,54.1,59.3,8.0,No Drought
40.3,7.9,65.7,45.2,14.5,Mild
32.2,96.1,86.5,67.7,17.0,No Drought
32.0,21.0,62.0,66.6,16.6,No Drought
38.0,48.4,72.1,68.2,13.0,No Drought
35.0,197.3,55.4,41.4,11.8,No Drought
36.0,28.5,64.4,30.0,7.5,Mild
37.9,99.8,25.0,64.4,12.8,No Drought
39.8,123.6,37.8,38.8,8.3,No Drought
28.8,140.5,45.3,18.8,19.7,No Drought
29.5,111.9,53.1,69.1,9.2,No Drought
23.9,2.0,23.2,71.2,6.2,No Drought
33.6,65.3,29.8,40.0,16.0,Mild
22.7,103.5,39.4,10.7,16.9,No Drought
31.3,17.6,88.0,34.1,22.4,Mild
32.9,70.1,43.2,65.3,16.5,No Drought
27.7,6.6,53.7,72.6,11.9,No Drought
33.8,15.7,33.7,20.3,21.1,Moderate
22.6,79.4,62.8,10.0,15.8,Mild
22.7,26.5,39.6,70.8,6.6,No Drought
38.5,113.5,34.5,34.2,16.3,No Drought
29.2,137.9,56.2,45.6,23.2,No Drought
24.5,160.1,20.4,77.6,12.9,No Drought
32.4,40.0,20.5,10.0,10.9,Moderate
37.4,33.5,35.3,53.6,7.9,No Drought
26.3,20.9,22.6,10.6,8.0,Severe
34.5,127.3,27.6,33.2,13.7,No Drought
23.7,141.3,43.7,65.3,16.9,No Drought
23.0,6.3,76.2,37.5,6.6,Mild
32.6,187.2,60.0,79.8,23.8,No Drought
32.8,10.4,55.9,46.9,20.1,Mild
34.7,108.3,40.5,29.1,16.7,No Drought
36.5,141.8,85.2,21.5,21.6,No Drought
41.5,174.2,47.8,31.3,6.6,No Drought
32.3,142.8,26.1,32.9,14.5,No Drought
28.5,160.3,63.2,10.2,17.6,No Drought
37.9,67.9,28.0,32.7,21.6,Mild
27.4,163.0,44.2,39.8,20.7,No Drought
30.8,16.0,55.5,59.2,10.5,No Drought
23.6,179.0,81.2,54.3,23.8,No Drought
22.5,109.5,54.5,58.2,7.5,No Drought
41.3,163.5,69.2,5.6,22.5,No Drought
38.7,90.5,89.5,21.3,24.4,Mild
35.9,128.7,29.2,54.6,8.5,No Drought
30.2,105.3,39.2,41.3,19.4,No Drought
25.5,146.3,47.6,5.4,5.8,No Drought
25.1,16.3,49.5,65.3,13.1,No Drought
27.0,12.1,48.8,63.0,15.3,No Drought
33.0,49.4,83.5,46.1,16.6,Mild
36.3,31.9,70.0,10.0,23.7,Moderate
35.2,174.4,62.6,62.5,18.4,No Drought
27.6,43.8,41.7,48.8,14.6,Mild
41.1,195.2,77.7,63.6,21.2,No Drought
36.8,67.4,86.9,61.4,24.0,No Drought
33.1,36.4,77.5,65.2,5.4,No Drought
34.2,157.9,20.1,43.9,24.7,No Drought
30.4,131.7,64.5,15.5,6.7,No Drought
27.0,99.6,23.6,55.3,21.3,No Drought
29.1,111.1,38.0,51.5,10.6,No Drought
37.2,143.8,24.2,60.7,7.6,No Drought
22.3,45.7,62.3,17.7,13.8,Moderate
24.3,199.3,68.1,19.6,17.9,No Drought
22.9,195.0,28.0,71.8,12.6,No Drought
22.8,130.1,46.9,61.2,6.1,No Drought
39.1,39.9,51.9,73.1,17.0,No Drought
36.1,136.0,45.8,61.9,23.0,No Drought
31.5,14.4,28.5,49.8,12.7,Mild
24.0,6.1,49.3,54.1,9.3,No Drought
31.8,51.5,72.6,71.7,13.9,No Drought
31.5,92.5,25.0,48.4,6.0,Mild
25.5,173.7,25.6,52.4,21.4,No Drought
30.7,145.4,44.8,16.7,21.5,No Drought
30.0,148.5,85.9,40.5,16.8,No Drought
34.3,85.1,66.8,58.7,12.1,No Drought
34.7,69.2,67.5,25.3,21.0,Mild
22.9,74.2,45.3,20.2,16.1,Mild
29.5,197.5,61.6,28.5,21.5,No Drought
34.5,8.0,20.7,23.1,17.6,Moderate
32.1,173.4,64.5,21.1,20.7,No Drought
39.1,115.7,83.9,36.9,17.0,No Drought
35.2,87.7,62.9,73.1,13.3,No Drought
25.3,145.1,81.2,43.0,24.2,No Drought
23.4,97.3,70.7,19.1,15.8,Mild
34.8,174.7,28.4,10.8,17.1,No Drought
22.5,180.1,83.2,57.2,9.4,No Drought
33.7,84.3,24.7,33.7,17.5,Mild
40.8,55.4,57.4,66.6,16.4,No Drought
33.5,118.5,29.9,54.5,8.7,No Drought
29.8,182.5,20.8,64.7,6.2,No Drought
34.9,42.1,49.5,25.4,17.1,Moderate
31.2,124.6,40.7,56.9,20.3,No Drought
32.9,126.3,54.0,24.8,15.5,No Drought
40.8,146.6,60.4,75.4,9.5,No Drought
29.7,26.3,23.1,52.7,18.3,No Drought
41.2,143.2,28.6,29.3,6.6,No Drought
40.1,181.8,59.1,25.2,13.8,No Drought
25.9,35.9,44.0,19.3,8.3,Moderate
23.4,47.5,71.0,57.1,8.7,No Drought
24.0,194.3,65.7,21.4,9.0,No Drought
22.4,36.2,79.2,49.6,12.7,Mild
23.9,170.9,68.5,24.8,6.0,No Drought
35.7,98.5,50.1,54.6,13.0,No Drought
23.4,49.4,67.1,66.1,15.2,No Drought
28.4,174.1,39.3,63.4,14.7,No Drought
38.9,89.1,41.4,62.1,12.7,No Drought
22.5,103.0,75.2,19.1,21.8,No Drought
38.3,71.8,51.2,11.6,7.9,Mild
27.6,118.6,75.9,57.4,15.1,No Drought
24.4,32.7,77.6,32.6,6.2,Mild
35.9,78.2,80.0,37.4,6.4,Mild
34.6,193.9,84.2,7.3,16.5,No Drought
39.5,51.6,50.2,24.5,16.3,Moderate
36.7,131.3,42.3,7.5,22.6,No Drought
38.1,65.0,60.8,70.9,16.2,No Drought
27.6,154.7,46.0,23.3,24.2,No Drought
25.5,26.2,62.1,46.8,6.0,Mild
37.0,194.0,69.4,7.9,7.0,No Drought
38.1,90.8,68.2,55.0,5.9,No Drought
41.8,47.2,46.2,29.2,8.7,Moderate
30.3,14.7,31.7,72.3,15.8,No Drought
29.4,34.0,50.1,71.6,17.9,No Drought
37.5,104.0,30.0,29.4,5.9,No Drought
28.8,67.4,82.3,72.6,23.9,No Drought
40.6,165.8,44.2,79.7,21.8,No Drought
39.2,86.2,30.8,66.9,10.9,No Drought
30.6,49.7,21.8,68.4,6.5,No Drought
37.0,123.4,65.2,23.7,8.4,No Drought
37.1,141.4,64.6,48.3,7.5,No Drought
24.1,33.4,43.8,10.0,7.5,Moderate
40.1,33.5,25.0,12.1,15.4,Moderate
32.1,7.3,48.7,79.9,9.9,No Drought
38.5,147.3,41.8,29.5,12.2,No Drought
28.4,132.8,67.4,61.1,24.8,No Drought
39.9,94.9,62.4,65.5,18.7,No Drought
29.8,168.8,45.5,69.4,24.0,No Drought
22.2,161.1,35.3,79.8,7.9,No Drought
40.1,117.1,89.2,23.1,12.6,No Drought
23.8,173.7,51.8,8.0,16.1,No Drought
28.4,41.2,68.2,35.8,6.5,Mild
41.0,22.4,29.8,14.8,5.1,Severe
41.0,53.9,54.0,6.7,18.4,Moderate
33.5,11.4,21.9,32.0,17.8,Mild
34.6,106.2,55.4,63.8,13.2,No Drought
31.0,187.3,87.5,47.5,14.8,No Drought
27.9,7.9,46.9,28.5,13.3,Moderate
28.6,24.4,22.7,54.1,5.5,No Drought
35.5,90.4,22.2,22.4,11.7,Mild
37.0,186.8,47.2,6.1,8.5,No Drought
37.8,63.2,31.2,62.3,7.0,No Drought
37.8,101.4,21.6,51.8,24.1,No Drought
23.8,8.3,72.9,62.2,17.0,No Drought
31.9,29.7,52.1,7.9,19.6,Severe
23.2,197.3,40.2,67.8,11.3,No Drought
33.0,193.0,83.0,51.5,12.9,No Drought
30.8,1.0,28.1,47.3,9.7,Mild
39.8,190.4,86.9,51.8,6.9,No Drought
29.0,127.8,42.0,69.8,8.6,No Drought
24.3,173.6,82.2,49.0,21.0,No Drought
24.9,90.9,62.2,48.6,18.6,Mild
37.2,103.1,77.9,79.3,15.9,No Drought
34.4,97.8,88.9,61.8,14.5,No Drought
24.0,133.4,40.2,38.2,23.4,No Drought
23.7,27.9,87.3,58.1,6.5,No Drought
36.0,6.0,47.3,34.2,10.6,Mild
23.5,61.6,47.0,22.2,12.0,Mild
38.4,140.9,43.8,49.8,20.6,No Drought
36.1,40.4,57.9,74.6,24.9,No Drought
23.6,134.7,30.8,74.7,9.8,No Drought
23.7,194.0,58.8,30.6,22.5,No Drought
41.7,18.8,57.9,44.6,21.6,Mild
29.5,134.5,73.3,20.9,9.5,No Drought
29.4,88.8,78.4,79.7,13.0,No Drought
38.3,173.6,50.8,78.6,13.2,No Drought
40.9,35.4,41.2,53.7,24.6,No Drought
41.7,138.5,38.2,65.3,8.6,No Drought
37.1,167.6,33.6,58.6,21.0,No Drought
29.5,188.9,24.0,49.5,11.7,No Drought
23.7,136.6,44.0,9.0,19.6,No Drought
37.5,99.4,38.9,39.1,13.4,Mild
33.2,123.6,87.6,55.6,16.6,No Drought
30.5,173.8,59.0,55.8,21.7,No Drought
40.1,114.1,44.3,33.0,21.1,No Drought
24.2,6.1,60.6,75.6,22.3,No Drought
31.9,186.2,29.7,17.6,6.2,No Drought
22.2,137.9,51.1,42.5,18.8,No Drought
31.4,135.3,63.8,56.8,7.8,No Drought
23.1,43.1,54.2,57.3,13.3,No Drought
24.4,131.8,48.1,53.6,16.0,No Drought
24.4,78.8,89.6,25.6,13.1,Mild
35.0,130.2,81.6,16.7,15.4,No Drought
36.9,21.3,63.6,52.7,24.9,No Drought
33.7,131.6,59.9,49.9,7.7,No Drought
41.2,199.9,63.4,18.5,18.5,No Drought
29.5,9.6,34.1,57.9,12.9,No Drought
27.7,195.4,47.7,39.1,7.7,No Drought
39.4,81.4,22.8,55.1,8.2,No Drought
26.5,174.2,53.3,67.8,24.0,No Drought
41.3,156.5,58.0,17.7,22.6,No Drought
22.2,113.4,35.9,6.4,23.1,No Drought
41.4,147.7,87.5,63.4,24.8,No Drought
22.9,175.7,83.7,50.7,9.2,No Drought
39.8,80.8,70.6,57.5,12.1,No Drought
32.6,65.4,57.3,67.9,18.4,No Drought
41.9,133.5,80.9,65.2,14.7,No Drought
23.5,161.6,29.1,77.1,13.4,No Drought
33.1,152.5,75.3,45.2,12.2,No Drought
41.4,159.6,28.7,41.6,16.9,No Drought
32.5,87.1,75.6,35.1,16.5,Mild
34.6,163.6,39.3,16.5,8.2,No Drought
35.9,24.0,81.4,47.9,14.4,Mild
31.1,108.9,86.1,25.8,16.1,No Drought
34.6,1.2,30.4,74.1,16.4,No Drought
33.7,64.9,52.4,48.7,9.2,Mild
40.0,73.3,88.7,49.5,19.8,Mild
22.9,79.2,53.8,31.6,5.5,Mild
27.6,139.1,80.4,8.9,12.1,No Drought
41.0,77.7,61.2,7.4,20.6,Mild
39.8,89.7,46.3,36.8,16.3,Mild
31.1,47.5,40.0,11.3,10.2,Moderate
34.4,74.7,34.2,50.5,18.9,No Drought
27.5,45.5,73.3,71.1,16.3,No Drought
25.8,14.6,47.1,71.2,20.9,No Drought
31.3,120.7,55.8,54.4,19.7,No Drought
29.1,133.6,54.5,20.8,17.2,No Drought
33.7,123.9,60.4,69.7,14.8,No Drought
23.6,92.7,80.6,71.5,7.7,No Drought
41.5,76.0,88.7,19.7,10.2,Mild
41.7,172.7,48.5,60.3,13.4,No Drought
36.0,103.8,77.9,26.5,17.0,No Drought
32.7,95.8,73.5,65.2,15.3,No Drought
28.2,5.1,60.1,79.8,10.8,No Drought
38.3,68.2,86.9,7.3,5.1,Mild
35.7,76.0,34.0,72.3,14.9,No Drought
25.3,79.8,27.6,51.7,10.7,No Drought
40.2,116.0,79.8,78.0,19.7,No Drought
38.5,106.7,50.7,39.9,5.5,No Drought
41.0,121.6,79.3,68.6,16.7,No Drought
36.5,153.0,82.5,9.7,23.8,No Drought
34.3,162.6,24.4,30.1,8.5,No Drought
30.4,143.6,81.8,10.0,14.4,No Drought
40.7,191.1,51.4,78.2,6.8,No Drought
39.3,3.6,55.7,66.3,17.5,No Drought
22.9,39.2,63.9,68.9,16.0,No Drought
22.5,1.5,84.8,75.3,13.1,No Drought
29.5,129.5,21.3,11.4,15.4,No Drought
38.2,179.6,53.4,33.9,22.9,No Drought
41.7,48.7,68.1,10.3,8.9,Moderate
25.0,185.4,70.6,20.8,5.5,No Drought
33.9,12.1,68.5,22.2,22.2,Moderate
29.6,186.9,29.4,40.2,16.5,No Drought
41.4,70.3,41.0,25.1,22.8,Mild
38.8,20.3,45.1,12.6,16.9,Severe
38.8,97.2,76.3,17.6,21.2,Mild
31.4,51.4,39.5,16.0,13.6,Moderate
30.3,57.0,34.7,78.0,20.0,No Drought
27.5,61.5,87.0,61.9,23.3,No Drought
23.1,160.6,20.6,77.6,16.4,No Drought
39.3,107.8,89.8,38.0,8.6,No Drought
38.3,62.3,67.4,25.9,10.4,Mild
42.0,122.1,78.0,64.9,9.0,No Drought
41.9,143.2,40.6,29.5,9.9,No Drought
33.1,54.5,21.0,27.5,11.1,Moderate
37.4,82.7,71.7,22.4,16.1,Mild
40.9,24.4,78.4,14.7,16.8,Severe
39.0,36.2,71.8,24.2,13.5,Moderate
26.9,136.2,30.0,31.6,17.3,No Drought
31.0,36.3,72.7,55.5,6.6,No Drought
24.6,105.0,73.8,9.7,6.8,No Drought
41.1,141.8,66.1,20.8,8.4,No Drought
34.1,21.4,73.6,65.7,15.4,No Drought
26.6,113.5,79.2,16.0,9.3,No Drought
35.4,51.3,63.0,30.7,10.7,Mild
34.4,192.6,26.2,69.8,13.0,No Drought
29.2,96.7,54.1,16.6,21.2,Mild
24.3,161.2,25.4,11.2,5.3,No Drought
35.4,110.0,48.5,41.3,18.0,No Drought
32.4,8.7,48.5,27.7,18.4,Moderate
37.4,126.6,24.6,47.3,21.0,No Drought
32.4,190.3,44.4,65.3,23.7,No Drought
39.0,120.3,27.8,15.3,5.4,No Drought
33.0,163.8,76.6,48.6,8.1,No Drought
33.2,176.8,86.3,42.9,22.7,No Drought
39.5,45.6,25.1,15.8,14.2,Moderate
30.1,42.4,86.9,51.8,16.3,No Drought
24.7,122.2,56.6,25.5,18.3,No Drought
22.6,82.2,41.0,41.6,18.6,Mild
37.1,168.0,25.4,11.2,23.6,No Drought
34.4,180.0,55.0,39.5,24.9,No Drought
36.1,70.7,75.6,28.0,19.4,Mild
